fig1b: Table 1
Animal,Sex,StayProbability_previousReward,StayProbability_previousNoReward,,,
1,Female,0.82,0.55,,,
2,Female,0.84,0.52,,,
3,Female,0.80,0.58,,,
4,Female,0.92,0.56,,,
5,Female,0.85,0.56,,,
6,Female,0.77,0.43,,,
7,Female,0.74,0.51,,,
8,Female,0.75,0.52,,,
9,Female,0.85,0.60,,,
10,Female,0.81,0.49,,,
11,Female,0.87,0.56,,,
12,Female,0.91,0.58,,,
13,Female,0.85,0.49,,,
14,Female,0.88,0.54,,,
15,Female,0.89,0.55,,,
16,Female,0.90,0.54,,,
17,Female,0.88,0.55,,,
18,Female,0.86,0.60,,,
19,Female,0.91,0.65,,,
20,Female,0.90,0.58,,,
21,Female,0.87,0.58,,,
22,Female,0.91,0.51,,,
23,Female,0.90,0.54,,,
24,Female,0.88,0.60,,,
25,Female,0.94,0.52,,,
26,Female,0.88,0.52,,,
27,Female,0.93,0.59,,,
28,Female,0.93,0.60,,,
29,Female,0.84,0.46,,,
30,Female,0.90,0.57,,,
31,Female,0.90,0.59,,,
32,Female,0.90,0.60,,,
33,Female,0.88,0.57,,,
34,Female,0.87,0.59,,,
35,Female,0.83,0.49,,,
36,Male,0.80,0.51,,,
37,Male,0.80,0.51,,,
38,Male,0.81,0.59,,,
39,Male,0.92,0.54,,,
40,Male,0.80,0.55,,,
41,Male,0.76,0.51,,,
42,Male,0.87,0.52,,,
43,Male,0.80,0.51,,,
44,Male,0.89,0.54,,,
45,Male,0.81,0.56,,,
46,Male,0.68,0.44,,,
47,Male,0.88,0.53,,,
48,Male,0.81,0.52,,,
49,Male,0.83,0.53,,,
50,Male,0.88,0.64,,,
51,Male,0.90,0.57,,,
52,Male,0.91,0.56,,,
53,Male,0.85,0.51,,,
54,Male,0.91,0.54,,,
55,Male,0.85,0.48,,,
56,Male,0.89,0.55,,,
57,Male,0.90,0.48,,,
58,Male,0.88,0.53,,,
59,Male,0.83,0.53,,,
60,Male,0.90,0.58,,,
61,Male,0.86,0.53,,,
62,Male,0.94,0.55,,,
63,Male,0.85,0.49,,,
64,Male,0.88,0.51,,,
65,Male,0.91,0.53,,,
66,Male,0.82,0.50,,,
67,Male,0.94,0.48,,,
68,Male,0.90,0.49,,,
69,Male,0.89,0.54,,,
70,Male,0.88,0.46,,,
71,Male,0.88,0.53,,,
72,Male,0.89,0.50,,,

fig1c: Table 1
Animal,Sex,latency_previousReward,latency_previousNoReward,
1,Female,4.65,9.41,
2,Female,2.81,5.58,
3,Female,4.17,7.40,
4,Female,3.24,6.87,
5,Female,4.18,5.07,
6,Female,3.98,4.61,
7,Female,3.25,3.96,
8,Female,4.13,3.93,
9,Female,3.45,6.70,
10,Female,2.80,4.64,
11,Female,2.26,10.72,
12,Female,2.27,8.82,
13,Female,3.26,6.88,
14,Female,3.19,8.55,
15,Female,2.53,5.74,
16,Female,3.86,6.59,
17,Female,2.13,6.06,
18,Female,3.66,9.10,
19,Female,2.89,7.09,
20,Female,4.01,6.82,
21,Female,3.61,7.07,
22,Female,4.33,8.03,
23,Female,4.71,13.11,
24,Female,2.66,6.10,
25,Female,1.88,5.16,
26,Female,3.22,7.61,
27,Female,2.44,7.20,
28,Female,2.12,5.16,
29,Female,3.20,6.11,
30,Female,1.83,4.59,
31,Female,2.08,7.98,
32,Female,3.39,8.18,
33,Female,3.04,8.59,
34,Female,3.23,6.64,
35,Female,1.79,4.31,
36,Male,2.65,4.09,
37,Male,2.35,3.94,
38,Male,4.01,6.38,
39,Male,3.06,6.93,
40,Male,2.75,4.58,
41,Male,2.62,2.77,
42,Male,2.97,3.76,
43,Male,3.11,5.62,
44,Male,4.17,4.40,
45,Male,3.60,6.86,
46,Male,4.21,3.74,
47,Male,2.00,5.09,
48,Male,3.10,6.40,
49,Male,2.64,3.63,
50,Male,2.80,4.71,
51,Male,2.50,6.76,
52,Male,3.24,9.41,
53,Male,1.38,4.51,
54,Male,2.39,3.46,
55,Male,1.91,4.88,
56,Male,2.97,5.50,
57,Male,2.20,6.09,
58,Male,3.71,6.30,
59,Male,3.44,6.68,
60,Male,1.92,4.27,
61,Male,2.79,7.33,
62,Male,3.17,5.06,
63,Male,1.45,4.68,
64,Male,2.24,4.84,
65,Male,2.90,6.13,
66,Male,3.04,5.33,
67,Male,1.89,5.20,
68,Male,1.97,5.90,
69,Male,4.02,8.01,
70,Male,2.80,5.11,
71,Male,1.65,4.31,
72,Male,1.62,4.25,

fig1e: Table 1
Sex,Model Parameter,Median,25th percentile,75th percentile,Whisker_lower,Whisker_upper
Female ,alpha,0.68,0.6168,0.7138,0.5089,0.7902
Male,alpha,0.66,0.6267,0.7057,0.5193,0.78
Female,beta_value,1.8726,1.5345,2.0637,1.00,2.82
Male,beta_value,1.9004,1.5483,2.0838,1.087,2.71
Female,beta_stay,0.4951,0.3314,0.5862,-0.04,0.80
Male,beta_stay,0.3744,0.2821,0.4238,0.09,0.63
Female,beta_side,0.0473,-0.1010,0.1590,-0.34,0.49
Male,beta_side,-0.0144,-0.1736,0.1527,-0.42,0.46


fig1g: Table 1
Animal,Sex,stayProbability_relativeSideValue1,stayProbability_relativeSideValue2,stayProbability_relativeSideValue3,stayProbability_relativeSideValue4,stayProbability_relativeSideValue5,stayProbability_relativeSideValue6,stayProbability_relativeSideValue7,stayProbability_relativeSideValue8,stayProbability_relativeSideValue9
1,Female,0.24,0.29,0.38,0.45,0.53,0.58,0.69,0.77,0.83
2,Female,0.17,0.23,0.32,0.44,0.52,0.56,0.65,0.78,0.81
3,Female,0.23,0.32,0.35,0.41,0.49,0.53,0.62,0.72,0.72
4,Female,0.06,0.10,0.22,0.41,0.44,0.56,0.69,0.84,0.89
5,Female,0.17,0.20,0.33,0.45,0.55,0.61,0.66,0.74,0.77
6,Female,0.26,0.30,0.37,0.48,0.57,0.60,0.70,0.79,0.83
7,Female,0.31,0.42,0.45,0.50,0.61,0.63,0.69,0.76,0.82
8,Female,0.22,0.30,0.33,0.39,0.46,0.55,0.63,0.60,0.70
9,Female,0.17,0.25,0.31,0.42,0.51,0.54,0.64,0.72,0.79
10,Female,0.17,0.22,0.35,0.43,0.50,0.57,0.64,0.73,0.81
11,Female,0.12,0.18,0.34,0.47,0.54,0.62,0.69,0.82,0.87
12,Female,0.14,0.21,0.36,0.47,0.58,0.57,0.78,0.90,0.94
13,Female,0.18,0.20,0.37,0.46,0.52,0.57,0.73,0.83,0.84
14,Female,0.12,0.17,0.30,0.42,0.53,0.59,0.71,0.82,0.88
15,Female,0.12,0.13,0.26,0.42,0.49,0.58,0.73,0.84,0.85
16,Female,0.12,0.14,0.32,0.48,0.56,0.62,0.73,0.87,0.89
17,Female,0.13,0.14,0.28,0.44,0.48,0.62,0.71,0.79,0.83
18,Female,0.22,0.28,0.33,0.45,0.53,0.57,0.70,0.77,0.85
19,Female,0.08,0.13,0.23,0.34,0.44,0.57,0.68,0.82,0.88
20,Female,0.13,0.16,0.27,0.45,0.52,0.55,0.71,0.84,0.86
21,Female,0.10,0.14,0.26,0.40,0.48,0.61,0.65,0.78,0.79
22,Female,0.08,0.07,0.20,0.41,0.49,0.52,0.65,0.84,0.86
23,Female,0.09,0.11,0.26,0.46,0.51,0.55,0.72,0.84,0.87
24,Female,0.07,0.10,0.20,0.33,0.41,0.55,0.66,0.75,0.76
25,Female,0.07,0.10,0.27,0.43,0.52,0.55,0.76,0.90,0.93
26,Female,0.11,0.15,0.24,0.40,0.47,0.54,0.68,0.83,0.84
27,Female,0.06,0.10,0.20,0.37,0.43,0.53,0.68,0.86,0.91
28,Female,0.05,0.08,0.21,0.38,0.41,0.48,0.64,0.84,0.87
29,Female,0.13,0.23,0.35,0.45,0.50,0.50,0.67,0.83,0.85
30,Female,0.08,0.16,0.29,0.40,0.52,0.60,0.72,0.82,0.89
31,Female,0.06,0.09,0.21,0.40,0.44,0.54,0.61,0.80,0.83
32,Female,0.13,0.16,0.31,0.41,0.54,0.57,0.76,0.85,0.86
33,Female,0.09,0.12,0.28,0.41,0.43,0.58,0.71,0.78,0.81
34,Female,0.20,0.24,0.28,0.40,0.50,0.60,0.73,0.82,0.88
35,Female,0.18,0.23,0.33,0.44,0.50,0.57,0.66,0.76,0.84
36,Male,0.21,0.28,0.40,0.46,0.55,0.58,0.67,0.72,0.77
37,Male,0.17,0.27,0.34,0.43,0.49,0.53,0.64,0.73,0.79
38,Male,0.26,0.30,0.37,0.44,0.50,0.58,0.66,0.72,0.73
39,Male,0.10,0.11,0.19,0.38,0.52,0.55,0.68,0.89,0.93
40,Male,0.39,0.33,0.44,0.43,0.55,0.54,0.70,0.85,0.86
41,Male,0.18,0.26,0.30,0.38,0.47,0.50,0.57,0.64,0.64
42,Male,0.08,0.11,0.20,0.38,0.43,0.47,0.62,0.73,0.73
43,Male,0.20,0.22,0.38,0.45,0.51,0.62,0.71,0.74,0.81
44,Male,0.10,0.17,0.26,0.42,0.52,0.61,0.70,0.77,0.82
45,Male,0.29,0.30,0.40,0.48,0.54,0.63,0.70,0.79,0.81
46,Male,0.19,0.23,0.33,0.43,0.46,0.51,0.55,0.57,0.63
47,Male,0.11,0.12,0.30,0.44,0.52,0.57,0.69,0.78,0.82
48,Male,0.12,0.18,0.28,0.38,0.49,0.56,0.63,0.72,0.76
49,Male,0.18,0.23,0.27,0.42,0.48,0.54,0.63,0.75,0.78
50,Male,0.22,0.26,0.32,0.41,0.50,0.62,0.75,0.83,0.88
51,Male,0.17,0.21,0.35,0.48,0.53,0.59,0.76,0.89,0.90
52,Male,0.08,0.08,0.28,0.43,0.46,0.54,0.69,0.82,0.87
53,Male,0.16,0.22,0.35,0.44,0.53,0.55,0.69,0.80,0.86
54,Male,0.13,0.17,0.32,0.46,0.52,0.57,0.76,0.89,0.88
55,Male,0.15,0.22,0.32,0.45,0.52,0.60,0.73,0.81,0.86
56,Male,0.10,0.14,0.30,0.42,0.53,0.58,0.72,0.85,0.88
57,Male,0.11,0.11,0.30,0.44,0.44,0.51,0.71,0.87,0.86
58,Male,0.09,0.15,0.27,0.41,0.48,0.54,0.66,0.80,0.83
59,Male,0.24,0.27,0.34,0.42,0.52,0.59,0.67,0.81,0.86
60,Male,0.11,0.15,0.29,0.43,0.50,0.57,0.72,0.82,0.85
61,Male,0.18,0.21,0.29,0.42,0.48,0.56,0.67,0.79,0.83
62,Male,0.09,0.11,0.33,0.48,0.57,0.61,0.86,0.93,0.94
63,Male,0.12,0.16,0.29,0.44,0.48,0.56,0.71,0.82,0.83
64,Male,0.15,0.16,0.29,0.40,0.50,0.56,0.71,0.85,0.88
65,Male,0.12,0.18,0.30,0.43,0.54,0.61,0.77,0.88,0.93
66,Male,0.19,0.21,0.34,0.45,0.53,0.59,0.68,0.75,0.82
67,Male,0.08,0.12,0.32,0.52,0.57,0.63,0.87,0.97,0.98
68,Male,0.11,0.13,0.26,0.42,0.51,0.58,0.74,0.88,0.89
69,Male,0.15,0.17,0.32,0.48,0.54,0.60,0.78,0.87,0.89
70,Male,0.09,0.13,0.26,0.43,0.50,0.58,0.70,0.85,0.89
71,Male,0.12,0.19,0.33,0.43,0.52,0.59,0.74,0.83,0.90
72,Male,0.07,0.11,0.24,0.39,0.48,0.55,0.68,0.83,0.86

fig1h: Table 1
Animal,Sex,trialInit_relativeChosenValue1,trialInit_relativeChosenValue2,trialInit_relativeChosenValue3,trialInit_relativeChosenValue4
1,Female,8.58,9.20,5.44,4.43
2,Female,5.47,5.73,2.95,2.56
3,Female,7.08,7.26,5.22,3.65
4,Female,7.15,6.16,3.33,3.14
5,Female,5.35,4.44,4.14,4.19
6,Female,4.80,6.04,3.35,3.07
7,Female,3.93,5.06,3.53,2.10
8,Female,4.31,5.02,2.49,3.79
9,Female,7.79,6.30,3.46,2.94
10,Female,4.42,4.55,2.87,2.55
11,Female,9.18,11.15,4.17,2.39
12,Female,7.87,9.34,2.69,2.28
13,Female,5.90,6.73,3.48,2.85
14,Female,8.13,7.98,3.86,2.61
15,Female,5.86,5.23,2.73,2.41
16,Female,6.66,7.02,3.89,3.05
17,Female,5.56,5.91,2.74,2.25
18,Female,9.09,9.08,3.91,3.82
19,Female,8.46,6.28,2.73,2.62
20,Female,7.21,6.75,4.12,3.73
21,Female,7.44,6.36,4.41,2.78
22,Female,8.93,6.48,4.02,3.86
23,Female,12.47,12.92,5.57,4.34
24,Female,6.68,4.65,2.48,2.20
25,Female,5.81,4.48,2.02,1.66
26,Female,8.43,6.56,3.57,2.97
27,Female,7.36,6.60,2.61,2.45
28,Female,5.10,5.12,2.46,1.80
29,Female,5.77,6.44,3.21,2.48
30,Female,4.98,4.08,2.03,1.68
31,Female,6.41,7.92,2.73,2.36
32,Female,9.19,7.47,3.40,3.23
33,Female,8.78,8.52,2.91,3.17
34,Female,6.51,6.78,3.73,2.87
35,Female,4.26,3.62,2.60,1.91
36,Male,4.13,4.45,2.91,2.21
37,Male,3.89,4.03,2.66,2.10
38,Male,5.43,5.82,4.64,4.35
39,Male,7.56,5.77,2.82,3.24
40,Male,4.05,5.33,3.12,2.43
41,Male,3.37,2.88,2.54,2.10
42,Male,3.76,3.77,2.88,3.12
43,Male,4.57,5.91,4.40,2.84
44,Male,5.22,4.88,3.55,3.57
